timestamp,x1,y1,x2,y2,cx,cy,z_mm,label,image_width,robot_x,robot_y,robot_yaw_deg,orig_x1_global,orig_y1_global,orig_x2_global,orig_y2_global,ext_x1_global,ext_y1_global,ext_x2_global,ext_y2_global
1750161004.625029,179,0,415,309,297,154,790,glass,416,-55.48194749960947,-90.30890145252653,4.165022891043966,-54.69197036615079,-90.31491216067252,-54.851078300180895,-89.83339745337159,-54.43111103600867,-90.38894257921146,-54.685683730456844,-89.61851904752996
1750161004.7405076,179,0,415,309,297,154,771,glass,416,-55.48194749960947,-90.30890145252653,4.165022891043966,-54.710969816196005,-90.31476759933736,-54.86625110371145,-89.84483362550316,-54.45638431804466,-90.38701753945574,-54.70483437806936,-89.635123181321
1750161004.8573384,179,0,415,309,297,154,773,glass,416,-55.48194749960947,-90.30890145252653,4.165022891043966,-54.70896987408598,-90.31478281632,-54.86465396649771,-89.84362981791035,-54.453723972567175,-90.38722017521948,-54.70281852042595,-89.63337537776405
1750161004.9810832,179,0,415,309,297,154,776,glass,416,-55.48194749960947,-90.30890145252653,4.165022891043966,-54.705969960920946,-90.31480564179398,-54.862258260677095,-89.84182410652116,-54.44973345435096,-90.38752412886515,-54.699794733960815,-89.63075367242863
1750161004.9810832,2,0,183,311,92,155,757,glass,416,-55.48194749960947,-90.30890145252653,4.165022891043966,-54.81679437007523,-90.6703157774651,-54.72495205068687,-90.30627651243601,-54.63102477912322,-90.83334596470105,-54.48407706810184,-90.2508831406545
1750161005.1039515,179,0,415,309,297,154,769,glass,416,-55.48194749960947,-90.30890145252653,4.165022891043966,-54.71296975830602,-90.31475238235473,-54.8678482409252,-89.84603743309596,-54.45904466352211,-90.38681490369201,-54.70685023571279,-89.63687098487797
1750161005.2282789,180,0,415,310,297,155,756,glass,416,-55.48194749960947,-90.30890145252653,4.165022891043966,-54.72595635275938,-90.31256012500214,-54.878229632814524,-89.85386218244913,-54.47631801669609,-90.38246241812777,-54.71995526478431,-89.64854571004298
1750161005.2282789,1,0,182,312,91,156,748,glass,416,-55.48194749960947,-90.30890145252653,4.165022891043966,-54.82569378747868,-90.66783747094006,-54.73394768210122,-90.3083789512128,-54.64257958964606,-90.82943705442318,-54.49578582104213,-90.2543034228596
1750161005.3514442,179,0,415,310,297,155,771,glass,416,-55.343794921056755,-90.29837180184106,4.3799065835562345,-54.572800659301755,-90.30134641792722,-54.72984330412295,-89.83199811898109,-54.31794598405207,-90.372641047595,-54.569214215765996,-89.62168376928118
1750161005.4749157,179,0,415,309,297,154,775,glass,416,-55.33101291566157,-90.29732158810748,4.4014273710614304,-54.55601761525783,-90.30002054200028,-54.71405220264072,-89.8282965582969,-54.299813837029276,-90.37158882572363,-54.55266917684192,-89.61683045179821
1750161005.4749157,0,0,181,312,90,156,745,glass,416,-55.33101291566157,-90.29732158810748,4.4014273710614304,-54.676906714802094,-90.65393072707785,-54.5860144895582,-90.2957902150288,-54.49430868833084,-90.81463454557631,-54.34888112794061,-90.24160972629782
1750161005.5972183,179,0,415,309,297,154,771,glass,416,-55.323171669625424,-90.29687811250267,4.416174201524364,-54.55217567942951,-90.29936469687244,-54.709515385241815,-89.8301158982688,-54.29727592649889,-90.37049799197392,-54.54901945579858,-89.61969991420808
